ISSUEDATE,CREATEDBYTYPE,JOBTYPE,COUNTLICENSES
2016-04-01 08:35:18,Staff,Application,1
2016-04-01 08:53:25,Staff,Application,1
2016-04-01 09:32:59,Staff,Application,1
2016-04-01 09:50:13,Staff,Application,1
2016-04-01 10:13:24,Staff,Application,1
2016-04-01 10:22:50,Staff,Application,1
2016-04-01 10:34:31,Staff,Application,1
2016-04-01 10:43:10,Staff,Application,1
2016-04-01 10:48:18,Staff,Application,1
2016-04-01 11:30:12,Staff,Application,1
2016-04-01 11:30:40,Staff,Application,1
2016-04-01 11:31:35,Staff,Application,1
2016-04-01 11:32:06,Staff,Application,1
2016-04-01 11:35:19,Staff,Application,1
2016-04-01 11:43:09,Staff,Application,1
2016-04-01 11:57:11,Staff,Application,1
2016-04-01 12:00:32,Staff,Application,1
2016-04-01 12:02:39,Staff,Application,1
2016-04-01 12:17:41,Staff,Application,1
2016-04-01 12:28:44,Staff,Application,1
2016-04-01 12:33:22,Staff,Application,1
2016-04-01 12:36:02,Staff,Application,1
2016-04-01 12:53:59,Staff,Application,1
2016-04-01 13:07:20,Staff,Application,1
2016-04-01 13:22:29,Staff,Application,1
2016-04-01 13:30:08,Staff,Application,1
2016-04-01 13:35:38,Staff,Application,1
2016-04-01 13:53:24,Staff,Application,1
2016-04-01 14:09:14,Staff,Application,1
2016-04-01 14:09:32,Staff,Application,1
2016-04-01 14:25:29,Staff,Application,1
2016-04-01 14:40:37,Staff,Application,1
2016-04-01 15:01:25,Staff,Application,1
2016-04-01 15:09:00,Staff,Application,1
2016-04-01 15:13:57,Staff,Application,1
2016-04-01 15:41:26,Staff,Application,1
2016-04-01 15:59:31,Staff,Application,1
2016-04-01 16:06:54,Staff,Application,1
2016-04-01 16:25:33,Staff,Application,1
2016-04-01 16:25:38,Staff,Application,1
2016-04-01 16:28:13,Staff,Application,1
2016-04-01 16:55:59,Staff,Application,1
2016-04-01 17:01:38,Online,Application,1
2016-04-01 17:07:57,Staff,Application,1
2016-04-01 17:25:48,Staff,Application,2
2016-04-01 17:28:14,Staff,Application,1
2016-04-01 17:47:10,Staff,Application,1
2016-04-01 17:55:54,Staff,Application,1
2016-04-02 00:00:00,Online,Renewal,1
2016-04-02 00:00:00,Staff,Renewal,39
2016-04-03 00:00:00,Staff,Renewal,44
2016-04-04 00:00:00,Staff,Renewal,153
2016-04-04 08:17:29,Staff,Application,1
2016-04-04 08:35:26,Staff,Application,1
2016-04-04 08:39:53,Staff,Application,1
2016-04-04 09:18:21,Staff,Application,1
2016-04-04 09:28:19,Staff,Application,1
2016-04-04 09:36:44,Staff,Application,1
2016-04-04 10:07:40,Staff,Application,1
2016-04-04 10:08:44,Staff,Application,1
2016-04-04 10:25:49,Staff,Application,1
2016-04-04 10:42:32,Staff,Application,1
2016-04-04 10:59:15,Staff,Application,1
2016-04-04 11:03:31,Staff,Application,1
2016-04-04 11:23:16,Staff,Application,1
2016-04-04 11:23:22,Staff,Application,1
2016-04-04 11:44:15,Staff,Application,1
2016-04-04 12:02:23,Staff,Application,1
2016-04-04 12:25:56,Staff,Application,1
2016-04-04 12:27:23,Staff,Application,1
2016-04-04 12:50:08,Staff,Application,1
2016-04-04 12:53:22,Staff,Application,1
2016-04-04 13:18:20,Staff,Application,1
2016-04-04 13:28:40,Staff,Application,1
2016-04-04 13:55:01,Staff,Application,1
2016-04-04 14:26:29,Staff,Application,1
2016-04-04 14:44:11,Staff,Application,1
2016-04-04 14:44:12,Staff,Application,1
2016-04-04 15:18:03,Staff,Application,1
2016-04-04 15:25:12,Staff,Application,1
2016-04-04 15:32:40,Staff,Application,1
2016-04-04 15:32:41,Staff,Application,1
2016-04-04 15:41:49,Staff,Application,1
2016-04-04 16:03:57,Staff,Application,1
2016-04-04 16:09:34,Staff,Application,1
2016-04-04 16:13:30,Staff,Application,1
2016-04-04 17:15:21,Staff,Application,1
2016-04-04 17:19:16,Online,Application,1
2016-04-04 17:23:48,Staff,Application,1
2016-04-04 17:31:30,Staff,Application,1
2016-04-04 17:36:59,Staff,Application,1
2016-04-05 00:00:00,Online,Renewal,1
2016-04-05 00:00:00,Staff,Renewal,196
2016-04-05 08:30:06,Staff,Application,1
2016-04-05 09:00:58,Staff,Application,1
2016-04-05 09:19:10,Staff,Application,1
2016-04-05 09:25:05,Staff,Application,2
2016-04-05 09:28:49,Staff,Application,1
2016-04-05 09:34:59,Staff,Application,1
2016-04-05 10:11:40,Staff,Application,1
2016-04-05 10:30:39,Staff,Application,1
2016-04-05 10:32:01,Staff,Application,1
2016-04-05 10:32:49,Staff,Application,1
2016-04-05 10:46:08,Staff,Application,1
2016-04-05 10:54:29,Staff,Application,1
2016-04-05 11:19:57,Staff,Application,1
2016-04-05 11:21:01,Staff,Application,1
2016-04-05 11:42:15,Staff,Application,1
2016-04-05 11:51:04,Staff,Application,1
2016-04-05 12:01:46,Staff,Application,1
2016-04-05 12:02:07,Staff,Application,1
2016-04-05 12:29:02,Staff,Application,1
2016-04-05 12:39:10,Staff,Application,1
2016-04-05 13:01:30,Staff,Application,1
2016-04-05 13:28:58,Staff,Application,1
2016-04-05 13:39:54,Staff,Application,1
2016-04-05 13:53:28,Staff,Application,1
2016-04-05 13:57:54,Staff,Application,1
2016-04-05 14:02:16,Staff,Application,1
2016-04-05 14:05:45,Staff,Application,1
2016-04-05 14:36:31,Staff,Application,1
2016-04-05 14:38:10,Staff,Application,1
2016-04-05 15:10:32,Staff,Application,1
2016-04-05 15:32:45,Staff,Application,1
2016-04-05 15:39:22,Staff,Application,1
2016-04-05 15:40:48,Staff,Application,1
2016-04-05 15:47:52,Staff,Application,1
2016-04-05 15:51:09,Staff,Application,1
2016-04-05 16:07:39,Staff,Application,1
2016-04-05 16:22:48,Staff,Application,1
2016-04-05 16:44:32,Staff,Application,1
2016-04-05 16:51:15,Staff,Application,1
2016-04-05 17:26:48,Staff,Application,1
2016-04-06 00:00:00,Online,Renewal,1
2016-04-06 00:00:00,Staff,Renewal,228
2016-04-06 09:12:00,Staff,Application,1
2016-04-06 09:21:07,Staff,Application,1
2016-04-06 09:31:38,Staff,Application,1
2016-04-06 09:36:57,Staff,Application,1
2016-04-06 09:41:42,Staff,Application,1
2016-04-06 09:54:44,Staff,Application,1
2016-04-06 10:12:56,Staff,Application,1
2016-04-06 10:24:59,Staff,Application,1
2016-04-06 10:30:59,Staff,Application,1
2016-04-06 10:31:43,Staff,Application,1
2016-04-06 10:46:25,Staff,Application,1
2016-04-06 11:12:38,Staff,Application,1
2016-04-06 11:36:14,Staff,Application,1
2016-04-06 11:57:35,Staff,Application,1
2016-04-06 12:02:18,Staff,Application,1
2016-04-06 12:20:04,Staff,Application,1
2016-04-06 12:25:45,Online,Application,1
2016-04-06 12:30:09,Staff,Application,1
2016-04-06 12:31:11,Staff,Application,1
2016-04-06 12:43:06,Staff,Application,1
2016-04-06 12:54:15,Staff,Application,1
2016-04-06 12:57:30,Staff,Application,1
2016-04-06 13:32:24,Staff,Application,1
2016-04-06 14:00:28,Staff,Application,1
2016-04-06 14:24:41,Staff,Application,1
2016-04-06 14:30:34,Staff,Application,1
2016-04-06 14:35:35,Staff,Application,1
2016-04-06 14:51:06,Staff,Application,1
2016-04-06 14:51:53,Online,Application,1
2016-04-06 15:09:03,Staff,Application,1
2016-04-06 15:09:23,Staff,Application,1
2016-04-06 15:30:59,Staff,Application,1
2016-04-06 15:39:16,Staff,Application,1
2016-04-06 15:40:46,Staff,Application,1
2016-04-06 15:56:55,Staff,Application,1
2016-04-06 16:15:29,Online,Application,1
2016-04-06 16:31:59,Staff,Application,1
2016-04-06 16:42:56,Online,Application,1
2016-04-06 16:45:03,Online,Application,1
2016-04-06 16:47:45,Online,Application,1
2016-04-06 17:29:42,Staff,Application,1
2016-04-06 17:47:09,Online,Application,1
2016-04-06 17:50:16,Online,Application,1
2016-04-06 17:58:21,Online,Application,1
2016-04-06 18:32:03,Online,Application,1
2016-04-06 18:41:02,Online,Application,1
2016-04-06 18:42:26,Online,Application,1
2016-04-06 18:43:39,Online,Application,1
2016-04-06 18:44:07,Online,Application,1
2016-04-06 18:44:24,Online,Application,1
2016-04-06 18:45:07,Online,Application,1
2016-04-06 18:50:17,Online,Application,1
2016-04-06 18:50:39,Online,Application,1
2016-04-06 18:52:46,Online,Application,1
2016-04-06 18:57:57,Online,Application,1
2016-04-06 18:58:48,Online,Application,1
2016-04-07 00:00:00,Online,Renewal,1
2016-04-07 00:00:00,Staff,Renewal,241
2016-04-07 08:23:06,Staff,Application,1
2016-04-07 08:30:44,Staff,Application,1
2016-04-07 08:44:17,Staff,Application,1
2016-04-07 08:45:17,Staff,Application,1
2016-04-07 08:49:15,Staff,Application,1
2016-04-07 08:52:51,Staff,Application,1
2016-04-07 09:07:41,Staff,Application,1
2016-04-07 09:15:35,Staff,Application,1
2016-04-07 09:28:59,Staff,Application,1
2016-04-07 09:46:02,Staff,Application,1
2016-04-07 10:06:15,Staff,Application,1
